epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,246.115,1.03337,1.07823,1.4672,1.34286,0.717,0.47059,0.53904,0.29333,0.717,0.47059,0.501,0.13771,1.49133,1.36404,1.77601,1.72989,0.00380062,0.00380062,0.00380062
95,248.234,1.09736,1.19341,1.42801,1.28129,0.55791,0.47059,0.48296,0.25718,0.55791,0.47059,0.46363,0.10401,1.51143,1.36348,1.92214,1.72874,0.00373396,0.00373396,0.00373396
96,250.353,1.07171,1.07008,1.37642,1.21672,0.39445,0.64706,0.42864,0.21073,0.52665,0.47059,0.39417,0.09868,1.57733,1.33893,1.92072,1.758,0.0036673,0.0036673,0.0036673
97,252.461,1.12384,1.03751,1.4159,1.30961,0.51762,0.47059,0.40583,0.21316,0.51762,0.47059,0.35663,0.09776,1.63015,1.38842,1.9796,1.74693,0.00360064,0.00360064,0.00360064
98,254.594,1.01091,0.97867,1.33048,1.23295,0.40193,0.55406,0.4263,0.23138,0.44546,0.58824,0.46857,0.12298,1.5601,1.30834,2.00518,1.71576,0.00353398,0.00353398,0.00353398
99,256.721,0.98815,1.00182,1.2981,1.19841,0.49207,0.47059,0.45813,0.24245,0.48743,0.47059,0.43686,0.14325,1.53199,1.34504,1.96688,1.65542,0.00346732,0.00346732,0.00346732
100,258.827,1.01188,1.00945,1.29596,1.20621,0.51357,0.52941,0.51615,0.29379,0.47137,0.64706,0.54099,0.16935,1.51998,1.31425,1.95816,1.63969,0.00340066,0.00340066,0.00340066
101,260.95,0.99818,1.01937,1.31701,1.22043,0.60536,0.47059,0.55455,0.34569,0.60536,0.47059,0.56019,0.22059,1.53927,1.29694,1.91237,1.6122,0.003334,0.003334,0.003334
102,263.156,0.96686,0.90223,1.28671,1.20314,0.46647,0.47059,0.39259,0.2166,0.46647,0.47059,0.36647,0.14034,1.55972,1.2627,2.02998,1.66104,0.00326734,0.00326734,0.00326734
103,265.276,0.98131,1.00116,1.29444,1.2285,0.3988,0.46834,0.41482,0.2252,0.3988,0.46834,0.39792,0.16018,1.53278,1.24494,1.95539,1.64284,0.00320068,0.00320068,0.00320068
104,267.367,1.07634,0.93503,1.43592,1.26246,0.59716,0.41176,0.49614,0.28969,0.59716,0.41176,0.49998,0.20541,1.47454,1.23792,1.89286,1.60078,0.00313402,0.00313402,0.00313402
105,269.506,1.01125,0.9695,1.45823,1.25504,0.65211,0.47059,0.52941,0.31238,0.65211,0.47059,0.53746,0.22071,1.53505,1.27698,1.80217,1.75305,0.00306736,0.00306736,0.00306736
106,271.668,0.92194,0.92265,1.27054,1.21323,0.43307,0.58432,0.43279,0.27973,0.4743,0.47059,0.44797,0.18116,1.48093,1.28224,1.79988,1.6408,0.0030007,0.0030007,0.0030007
107,273.783,1.08646,1.11728,1.30323,1.22871,0.48853,0.58824,0.45964,0.25253,0.46729,0.52941,0.43174,0.15314,1.58386,1.30997,1.75282,1.70565,0.00293404,0.00293404,0.00293404
108,275.919,0.9856,0.99635,1.30798,1.2235,0.59232,0.47059,0.51497,0.31104,0.59232,0.47059,0.52332,0.22146,1.4811,1.29298,1.8543,1.74807,0.00286738,0.00286738,0.00286738
109,278.227,1.00677,1.04783,1.24202,1.24205,0.47976,0.47059,0.45316,0.2859,0.47976,0.47059,0.45041,0.17607,1.5212,1.25136,1.86688,1.7421,0.00280072,0.00280072,0.00280072
110,280.403,0.91272,0.98727,1.14216,1.1355,0.70506,0.47059,0.48932,0.30197,0.64016,0.41176,0.41338,0.18667,1.4594,1.21515,1.78855,1.73111,0.00273406,0.00273406,0.00273406
111,282.556,0.97125,0.91888,1.26052,1.21411,0.63871,0.47059,0.48626,0.30776,0.55115,0.41176,0.42729,0.1777,1.41712,1.17785,1.84333,1.59416,0.0026674,0.0026674,0.0026674
112,284.736,0.9634,1.05406,1.29063,1.18164,0.83202,0.58313,0.59505,0.32584,0.71893,0.52941,0.51775,0.20737,1.45127,1.17248,1.80996,1.68338,0.00260074,0.00260074,0.00260074
113,286.918,0.99859,0.99393,1.37464,1.2609,0.57784,0.4838,0.50714,0.31306,0.59686,0.47059,0.48847,0.20787,1.43288,1.17198,1.80291,1.60312,0.00253408,0.00253408,0.00253408
114,289.139,0.98803,1.00489,1.30479,1.22257,0.36022,0.58824,0.4695,0.26041,0.36022,0.58824,0.44969,0.17657,1.59492,1.20517,2.0045,1.66794,0.00246742,0.00246742,0.00246742
